Actividad Económica,Producto,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023(p), 2024(p),Enero a Marzo 2025(p)
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA","AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",97608.313,93938.11099999998,236346.802,250756.28600000002,332312.20700000017,293562.7679999999,242885.76699999993,259268.793,270552.887,78888.81448,103230.55446999999,203993.4641499999,214042.84175000002,290024.78093999997,290515.44981,304377.27358999994,412623.58197000006,524088.14142,409516.87549999997,242536.95228,605472.0853400002,894319.1524900001,434569.06260999996,375293.13993,375216.26037000003,267034.14433000004,268168.89322,248803.13277999996,274569.20897,400147.66705000005,855387.89503,694899.3400900001,442306.61793999997,58497.76136999999
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Castaña,6607.26,8246.366,7484.106,7665.845,9960.956000000002,9961.056,10780.448,10978.643,13368.549,13936.4822,14067.567719999997,16263.387,14702.253999999999,16488.3228,18537.07385,19919.149199999996,19864.91237,21353.06333,20200.134379999996,18662.478110000004,21391.36834,20194.03834,25486.411429999996,24596.69439,26087.646940000002,14111.943829999998,25628.07318,23342.16025,24439.28296,22964.29918,26450.94118,22686.18895,27679.697509999998,3387.14534
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Semillas y Habas de Soya,70038.375,71277.53300000001,189857.82400000002,208826.874,265514.69500000007,225461.84000000003,192165.30399999997,180074.121,215940.32299999997,8839.968,29172.624000000003,115229.34279999998,90121.98659999999,146479.18667999998,70221.92563,66147.47200000001,92507.243,134925.83000000002,51228.24,31895.86,298979.646,593398.9782,183636.408,6843.12,90897.20399999998,13887.35,7422.55,11101.98,19158.66,87010.535,604816.692,459178.981,202390.82169999997,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Quinua,493.23699999999997,537.693,1157.503,1491.9210000000003,1714.2910000000002,1775.559,1405.394,2030.186,1431.336,2123.33625,2019.34498,2801.6131,3867.89875,4826.09724,7645.19939,10455.982020000001,10310.92251,14376.43693,15401.57075,20179.615339999997,26011.085600000002,34745.97827,29505.4709,25102.459300000002,29415.590050000006,32369.611320000004,33241.53384,32145.17518,37298.08548,28172.52359,22332.684139999998,25641.872310000002,29434.129460000004,6242.912109999999
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Frijoles,,,,2255.392,2934.64,12340.575,8343.573999999999,16803.395,11854.27,19197.839999999993,22121.00323,18752.43,26540.92428,20982.014000000003,23411.9174,32023.15058,34739.2503,57743.47699999999,44278.077099999995,30580.788,36377.01834,38126.40499999999,27126.433599999997,21663.752619999996,34670.429,13148.6,16362.964000000004,15780.445,19010.898,12938.04536,19398.190000000002,14244.550000000001,9697.9326,1010.458
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Bananas,316.03,176.37399999999997,545.5,824.3259999999999,2356.2639999999997,1482.9630000000004,3105.406,10124.859999999999,8773.367,12924.7324,16987.321799999994,28394.376,42730.34087,53757.36879999999,77791.97989999999,80695.86300000003,88270.43917999999,90113.94493999996,88370.02354,108121.10839,100929.91796000002,107766.84131999998,115806.86912000002,125024.56099999999,125414.53000000001,143538.35,120194.05,109456.64399999999,116377.34,114661.84837,127456.60800000001,125164.666,100370.05300000001,34342.880000000005
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Café sin Tostar,5324.736,2711.8360000000002,4896.429999999999,5737.921,7388.780000000001,6725.195000000001,5841.341,7493.83,6314.6900000000005,4217.586,4590.586,4452.753,5404.351000000001,5049.356000000001,5551.989,5249.11,4404.6547199999995,4706.6714999999995,4375.525,4566.3105,3888.5602500000005,3603.618,3565.3109999999997,1816.2245,1328.883,1510.4473999999998,1402.883,1221.2640000000001,1256.39814,1687.3746400000002,2480.87129,1790.83,2427.25717,550.8927500000001
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Chía,,,,,,,,,,,,,,,,392.35,1247.175,675.64,1277.988,1505.9802,1448.9582500000001,9617.69706,9832.471409999998,20105.25763,15142.46162,12393.772359999999,12908.899500000001,9504.2228,12621.94093,11337.2821,8126.40814,9969.31056,11255.31593,1993.4573999999998
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Algodón sin Cardar ni Peinar,6069.460999999999,5153.271,8368.456,13905.377999999999,18188.854000000003,22371.111999999997,8584.382,14623.638,7854.076,2305.823,2110.1145,1439.1592500000002,2987.2242100000003,3028.4650899999997,2732.78251,2589.0419899999997,1373.9326,356.21414,,263.25201999999996,452.00612,247.51404,,,,,,,,0.0,10.52098,,,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Semillas de Sésamo(ajonjolí),,,,,,,,17.702,330.0,1749.5650000000003,3809.11,3931.7590999999993,10561.912339999999,21774.470960000002,14486.956010000002,12197.942920000001,4658.988600000001,13359.407879999999,7908.52494,8848.130000000001,4688.7500199999995,6278.89184,5439.65798,5024.458699999999,5845.691699999999,3627.94904,4628.9141199999995,4847.05404,10042.230699999998,13211.171,11970.8184,11775.61282,10765.90145,2190.1
