País,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022, 2023(p),2024(p),Enero a Marzo 2025(p)
Afganistán,,,,,,,,,,,,,,,,,,500.0,,,,,,,,1165.0,1410.6,686.9,,,,,,
Albania,,,,,,,,14.996,,,,0.032560000000000006,,,10.5,,,73.30000000000001,15.0,19.6,,,19.25,,,,,,,,,,,
Alemania,15170.530000000004,5701.756,7107.8949999999995,8174.026999999999,10184.107,8542.089,8776.300000000001,9179.112000000001,7554.267999999998,6154.52976,2187.8893599999997,2835.9535400000004,3572.9556500000003,4329.55819,4981.9363299999995,5477.37882,7487.08486,5844.66868,7872.9289499999995,10598.893730000002,9691.064520000002,10393.97051,11104.40335,10286.149319999999,10997.06867,11863.19845,8644.03122,10191.37164,11072.990609999999,9994.151269999998,9646.14712,9246.312510000002,9590.150759999999,1723.49519
Aruba,,49.06,,,,,,0.318,0.167,0.498,0.154,0.183,20.611949999999997,4.356,35459.41481,,0.47403,,0.28436,0.041,0.18881,,,,,,,,,,45.193,,,
Bosnia  Y  Herzegovina,,,,,,,,,,,,,,,,,,,,,,,44.625,1121.982,314.76199999999994,195.943,,87.3,,,,,,
Andorra,,,,,,,,,,,0.6629999999999999,,188.15946,,0.84,0.3,0.476,,0.25,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,52.717,88.41239999999999,34.56,,92.63335,165.71061,,,,6.41986,396.23699999999997,2911.5995000000003,8784.38263,816.5024999999999,270.311,87353.0407,1277.8
Anguilla,,17.99,,,,,,,11.549,8.964,,,,,,,,,,,,,,,,,,,,,,,,
Antigua Y Barbuda,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antillas Holandesas,,,,,,0.077,87.649,162.65599999999998,0.012,0.382,,36.34,,,,,134163.185,0.176,0.215,0.0885,,,22.68,22.68,,,,,,,,,,
Arabia Saudita,2081.179,358.5,322.5,456.82,272.0,54.0,18.0,93.094,35.6,,0.14,,,97.9385,21.006,40.0,,,,10.0,188.67578,,19.979,0.009,26.0,76.78,7.984,398.3624,788.431,494.7,663.9565,298.08799,46.558499999999995,32.0
Argelia,,,,,,,,,,,22.0,,,,37.77765,115.0,19.992,,,4950.0,,733.0,,,,,,192.0,120.0,,,,,
Argentina,2903338.3520000004,2853833.286,3002185.679,2833743.3230000003,2814580.8850000002,2432717.916,2225076.6149999998,974116.8700000001,82703.241,120344.1978,165622.41988,213381.74057000002,895969.5642500002,1612049.55438,1679640.2918599998,1531760.5826599998,1205017.1595899998,1537682.37263,1613224.43481,2256009.40596,3837284.2432099995,4695907.92113,4872187.639130001,4665764.82539,4411767.7639,5078560.35013,4700523.030790001,4175213.82821,4209290.15144,3611321.4080700004,3681835.7648599995,2304568.5149600003,1241295.1720500002,88921.16559000006
Australia,40.086,75.15,161.36599999999999,172.61399999999998,195.694,531.948,1175.9279999999999,1643.2749999999999,2381.693,558.2534,718.1074799999999,1865.0304999999998,1335.0630199999998,1321.98226,1244.3742700000003,1053.81068,1543.0543700000003,16365.352749999998,16990.88929,33593.92288,45501.11432,87590.59062999999,44696.851469999994,34707.46766,53469.678719999996,45975.93696,49961.041489999996,58100.69623999999,46056.49335,51406.38115,49491.55373,28991.648869999997,51669.719,16961.637819999996
Austria,168.262,2.847,22.294000000000004,21.291,24.76,121.23600000000002,1.088,122.185,681.7629999999999,423.80337999999995,866.3317199999999,1239.17781,903.3121699999999,1022.10702,1836.4031099999997,1349.87908,1384.92461,391.58493000000004,954.9320799999998,819.72595,732.3272300000001,547.9132500000001,651.9903300000001,1080.9442199999999,618.17501,573.3302500000001,596.3123,286.0786,349.75138,504.13068,788.8597699999999,551.1766500000001,520.45966,39.68852
Azerbaiyan,,,,,,,,,,,,,,,,,0.038869999999999995,,,,,,,,,,,,,,108.09212,,,
Bahamas,,,,35236.48,,,,4.325,19.528,17.17,25.389000000000003,17.87,15.99,12.58,29.450000000000003,62.763000000000005,42.448,32.854,9.090499999999999,13.427499999999998,25.808,34.3708,23.84681,,1.44893,58.90659,15.64094,10.85147,19.42614,4.85361,46.736000000000004,,,
Bahrein,,,,,,,,,,,,,,22.24,,23.0,,,,,,,,125.995,105.0,42.004999999999995,21.0,21.0,24.495,84.0,63.0,21.0,23.51,
Bangladesh,139.288,,,,,,,,,,,,,,21.2,,500.0,1040.0,807.65,,,,,308.07,1708.0,655.0,4117.0,,,,42.7154,25.0,,
Barbados,,,,,,,,50.531000000000006,19.374,,,,4.224,4.356,8.877,700.0,,78.8791,46.233000000000004,20.089,25.0,22.68,,,,0.07,,,,,17.312,,,
Bélgica,112680.84,78699.74900000001,38998.541,56108.666000000005,75164.262,91840.315,98404.90000000002,100583.46599999999,57349.726,25189.93976,15136.02758,25430.787879999996,39437.5262,28183.746489999998,37641.630240000006,80492.48454,125218.64865,148590.27296,232343.30057,199572.45356000002,193844.13666999998,137166.36153999998,110771.74432999999,128879.26914,105264.26825000001,81315.36225,60399.76672,57921.52081,55955.9002,62820.70745,79674.92138000001,59772.19732000001,93147.90310000001,26811.97298
