País,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023(p),2024(p),Enero a Marzo 2025(p)
Afganistán,,,,,,,,,,,,,,,,,,0.16,,,,,,,,0.31910499999999997,0.4415294,0.1677567,,,,,,
Albania,,,,,,,,0.006139,,,,0.00022,,,0.004515,,,0.25389858,0.0033,0.06984923,,,0.05729204,,,,,,,,,,,
Alemania,31.604261,31.265166,53.641196,56.757245000000005,58.690445000000004,56.616578,21.004246000000002,14.762682999999997,13.055182,7.868896530000001,6.37727752,6.56683106,9.88030865,14.85371069,15.33866522,15.456137479999999,23.115811909999998,19.61065426,30.013543199999994,50.396559,47.98664932,55.07724166999999,68.04204266,58.577523979999995,62.88094074999999,68.42580183,44.999794089999995,41.7985999,41.54113756,37.14907216,39.07949671000001,28.43146617,39.19017751,7.01951075
Aruba,,0.192672,,,,,,0.001032,0.000816,0.0035700000000000003,0.00044,0.000807,0.05063918,0.01066264,15.21569781,,0.00227812,,0.0012963900000000001,0.00196,0.00095411,,,,,,,,,,0.04846815,,,
Bosnia  Y  Herzegovina,,,,,,,,,,,,,,,,,,,,,,,0.0403042,1.47202205,0.43358128,0.25739928,,0.0950151,,,,,,
Andorra,,,,,,,,,,,0.002201,,0.20561396,,0.000984,0.001156,0.0009989,,0.0138765,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,0.07662168,0.07963012,0.049764,,0.35698167,0.47490277,,,,0.08975512000000001,0.22492951,1.35979778,3.66846947,0.89406395,0.45467354,28.73310543,0.3316499999999999
Anguilla,,0.025918,,,,,,,0.040744,0.01793,,,,,,,,,,,,,,,,,,,,,,,,
Antigua Y Barbuda,0.003702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antillas Holandesas,,,,,,6.7e-05,0.29014,0.520843,0.000805,0.01365012,,0.0075008,,,,,66.97697068,0.0031,0.00397,0.001,,,0.00851,0.00825,,,,,,,,,,
Arabia Saudita,1.837325,0.48404,0.7680799999999999,1.385239,0.528863,0.11196,0.049802,0.08612199999999999,0.058477,,0.00118,,,0.06380369000000001,0.01315968,0.024855,,,,0.1078,0.135374,,0.15683,1e-05,0.20679999999999998,0.057888,0.072512,0.38167311000000004,0.34706854,0.13215495,0.35163659,0.32791673,0.14554334,0.282128
Argelia,,,,,,,,,,,0.015994,,,,0.21102745,0.076295,0.0232,,,6.1518105,,0.94173147,,,,,,0.212056,0.131276,,,,,
Argentina,153.0213,121.883956,145.024648,133.59227,138.569489,180.26567800000004,121.38556700000001,53.001128,29.218605,27.14903687,24.85527047,38.18719828,122.89965180000002,260.9309835,371.01643762000003,422.15046309,493.3016700300001,433.87571152,553.74505643,1059.05836731,2110.50743022,2510.36373244,2542.8242536400003,1473.7164361299997,810.1661085400001,1246.68917154,1433.8768203799998,1361.75776404,1020.24092999,1035.5960443800002,1751.9110681299999,954.30088401,501.06860442000004,30.524836699999998
Australia,0.09474300000000001,0.14614,0.43652899999999994,0.568544,0.701334,1.8219830000000001,1.374162,1.807644,1.4678410000000002,0.8975836000000001,1.099555,2.75629843,1.71478392,2.8536918399999998,4.56077025,3.7588690700000003,6.4797409,36.066972879999994,67.49342840999999,125.08342448999998,113.20239061000001,163.40280753000002,125.60403493999999,88.55930072000001,140.25194328999999,149.05973797000001,172.88496568999997,173.66199408,131.6173144,182.64552981,193.41030451,95.4288166,189.25631069000002,61.42934514
Austria,0.233858,0.10856099999999999,0.078755,0.123995,0.135186,0.15083300000000002,0.044421,0.091805,0.4866,0.45378522000000004,1.0653000400000001,2.3757822599999994,1.99803196,3.36614426,8.10915876,6.9414950200000005,7.773973059999999,2.07448141,5.245452779999999,3.93373334,4.302076459999999,4.59431053,4.49504478,7.50114492,3.11688052,3.3141643600000004,3.608085380000001,1.73120269,2.1347607699999998,3.2155793,7.114307869999999,6.245156280000001,6.7067041399999985,0.3789589
Azerbaiyan,,,,,,,,,,,,,,,,,0.010150059999999999,,,,,,,,,,,,,,0.3165159,,,
Bahamas,,,,7.69,,,,0.020259,0.048924,0.05722504,0.08951535,0.05242242,0.04038256,0.01819863,0.03192843000000001,0.09340448000000001,0.09328198,0.059213449999999994,0.03341626,0.0459719,0.07087036,0.0526388,0.050680199999999995,,0.00779302,0.1065154,0.0244459,0.017689999999999997,0.0351575,0.0078128,0.09044635,,,
Bahrein,,,,,,,,,,,,,,0.00594045,,0.015695,,,,,,,,0.1661803,0.1160891,0.0797525,0.048929589999999995,0.051038,0.04250825,0.11564909,0.08651924999999999,0.023558,0.05957565,
Bangladesh,0.115222,,,,,,,,,,,,,,0.0370662,,0.030008,0.494,0.11974399999999999,,,,,0.18419349999999998,0.5690729999999999,0.20764500000000002,1.401148,,,,0.12128145000000001,0.06875,,
Barbados,,,,,,,,0.07122,0.028749,,,,0.00984019,0.01171735,0.0236985,0.49116658,,0.09331121,0.05430318,0.03011633,0.024783060000000003,0.0082,,,,0.00091,,,,,0.034686339999999996,,,
Bélgica,82.463794,48.7292,26.587114000000003,40.387834000000005,49.311538999999996,70.383115,64.018466,71.261468,41.44920400000001,13.958142749999999,8.70465172,15.699868839999999,32.64955682,22.312992280000003,60.60215243999999,131.88743637000002,157.36637742,189.63374044,384.5066057100001,377.68231724,334.59004187000005,245.90549017000004,231.30551606999998,283.5916363200001,324.01043104000007,260.71146223,193.82185414,149.86124503,127.5709665,166.18057008000002,241.53594564000002,200.30777576,379.50821598,125.67874882000001
Belice,0.000385,,,,,,,,,,,0.00771,,0.013388500000000001,,0.004542,0.003112,0.01383149,0.01175352,0.00709813,0.005505,0.014901000000000001,0.0054273,0.01598685,0.00311683,0.00155791,0.00442471,0.050648,,0.0029228500000000003,0.052845500000000004,0.0051416,0.0269555,
Bermudas,5.768841,3.9670009999999998,,4.125,,,,0.00275,,,,,,,0.02881369,,,,0.02490244,0.03182744,,,,,,,,,,,,,,
Bielorrusia,,,,,,,,,,,,,,,,,,,,,,0.2152155,,,,,0.01930029,0.5874423400000001,0.7698572399999999,0.18026,0.4759201,0.31270392,,
Myanmar,0.036807,,,,,,,,,,,,,,,,,,,,,,,,2.3570090699999997,1.7237329999999997,5.51781819,5.5868477,3.3126049999999996,3.6226040499999996,14.22015955,34.68366788,5.89737,
Botswana,,,,,,,,,,,,,,,0.466792,,,,,,,,,,,,,,,,,,,
Brasil,13.117026999999998,20.954826,34.888811,20.265771,35.171139000000004,36.482072,26.711753,37.342182,158.66843300000002,287.99971492000003,331.99220781,491.14550435999996,713.7640000600001,1113.96589373,1560.76602176,1748.24086924,3023.12609821,1667.4736281699998,2407.38974096,3030.0938366600003,3665.3088917200002,4030.6837845600003,3844.1083707100006,2447.48519534,1367.6925640700001,1455.9341529100002,1717.94452657,1524.45070498,1094.53050348,1441.8835687,1893.0883161400002,1568.57542337,1476.0502833399999,328.5559419800003
Brunei Darussalam,,,,,,,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,0.036372,,,0.007827,,,0.0031664099999999997,,,0.001604,,0.32123738,,8.54889422,0.318401,0.2204004,0.5850412999999999,0.48070736000000003,0.12363202999999998,0.19137999999999997,0.8103198,0.21758398999999998,0.240406,0.121879,0.9388472800000001,0.46446207,1.86482138,0.9842126099999999
Bután,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,0.000357,,,,,0.006684,,,,,,,,,,,0.032396919999999996,,
"Caimán, Islas",,,,,,,,1.188044,,,,,,,,,,,,,,,0.08486711,,,,,,,,,,,
Camboya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0162,,,0.02775249,0.01446452
"Camerún, Republica Unida Del",,,,,,,,,,,,,,,,,,,0.022937,,,,,1.298,,,,,,2.6465431600000002,0.20482,,0.12516988,
Canadá,0.253681,2.041963,3.1376679999999997,5.621805,8.534066000000001,5.976855,4.420564,6.1396630000000005,6.468463,8.453443260000002,5.40728678,3.8654812299999994,9.66606697,18.651360150000002,47.715609830000005,104.71697438000001,87.31482060999998,69.89966102,88.37324273000002,194.19697777000002,152.33092363,164.39590105000002,200.11618196,100.86112557999999,108.86767834,171.28049070000003,197.55226058000002,140.03546116,143.71075953,228.4157249,190.44349644,167.04176492000002,156.36609733999998,38.35017666
"Cocos (Keeling), Islas",,,,,,,,,,,,,,,0.000859,0.0035659999999999997,0.00113,,,,,,,,,,,,,,,,,
Colombia,25.037177999999997,36.606639,59.534255,63.883098000000004,115.70509999999999,87.523293,84.375124,134.58792599999998,195.64572199999995,188.03269353000005,139.08288599,156.50820278,125.94160494999998,180.22046321000002,161.10058232999995,158.51882419,216.18027982999996,291.50659369000005,229.62026864999999,259.30053616,413.25840876000007,649.6178538099999,643.3526475699999,529.88352655,578.2854508399998,411.82454249000006,416.38538559999995,385.1989699,359.83724783,684.07384876,901.2833598,953.8951315700001,513.60802307,64.45681249999998
Comoras,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republica Del",,,,,,,,,,,,,,,,,,0.05261095,0.01010891,,,,,,,,,0.032905,0.237206,0.42294730999999997,0.386762,0.45664673,0.307427,
Corea (Norte).Republica Popular Democrática De,,0.254565,0.649396,0.02834,0.02,0.08274999999999999,0.039,2.645224,0.0204,0.0839979,0.01521461,0.3535326,0.33697979,0.12955632,0.0388,0.0012643399999999999,0.0344535,0.35080376999999996,0.12560200000000002,0.037956,,,,,0.00702823,0.26358607,,0.9074663599999999,0.6789029,,,,,
Corea (Sur). Republica De,0.326397,2.09535,4.758,0.6713659999999999,0.547492,0.5286250000000001,3.640975,0.077995,1.7484150000000003,1.84271924,3.3995208000000003,16.952148610000002,56.65979009,60.13817863,48.80300406999999,198.60931186,812.5000775199999,494.8652392199999,367.13922524000003,419.07831546000006,358.00142546,405.0505757900001,496.11231251,375.13233105,385.66146842000006,628.6554971999999,579.00785646,316.80364063,200.46066983999998,435.42492628,538.5813565499999,403.62093579,553.6937498,110.20090975999999
Costa Del Marfil,,,,,,,,,,,,,,,,,,,,0.037318000000000004,,,,,,,,,0.052180000000000004,0.10070825,,0.15848600000000002,0.6433490500000001,0.13267426
Costa Rica,0.069,0.030527,,0.00138,0.110944,0.09642600000000001,0.032999,0.14051700000000003,0.134054,0.17354551,5.07391798,0.08428914,0.18404237,5.12612303,0.21608493,2.2739857299999997,1.3302888000000002,2.53389107,1.3207471499999999,0.9646153400000002,0.97362804,1.2375011,0.81241032,0.9969088800000001,1.03590662,1.63132586,1.98618483,1.58934003,1.7892573000000003,12.3512458,2.71067565,3.2653473600000003,2.9184987099999997,0.854545
Croacia,,0.005283,,,0.1018,,,,,0.00257,0.00063105,0.00094131,0.000413,,,0.022989600000000002,0.00743,0.021504279999999997,0.12258200000000001,0.16306930000000003,0.040194999999999995,,0.20733965000000001,1.6989617100000003,0.60931855,0.18908142,0.75518117,0.36757743,0.36519943,0.02632208,,0.58449872,0.5127031,
Cuba,,0.020526,0.041677000000000006,,,,,0.08223599999999999,0.024695,0.02749516,3e-05,0.014782229999999999,0.02655048,0.00529106,,0.1061324,0.55897758,0.5669702999999999,2.8960697499999997,0.35649061,0.6313120799999999,1.32837707,0.51893487,0.36012732000000003,0.32668432999999997,0.9487866900000002,0.30092852000000003,8.79057515,5.1555548600000005,0.5426186,0.18965875999999998,0.2618547,0.18667055,0.053845580000000004
Checoslovaquia,0.022283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,17.487172,14.209952,18.544114000000004,25.234005,39.307972,56.40495500000001,32.389177,24.373544000000003,25.760392999999997,23.369869399999995,30.26501406,42.60632861,46.52764468000001,36.12943712999999,60.06734258,56.416428440000004,78.14335484,74.98285973,85.62954499,149.78749817,225.95109803,157.21970717,106.02113745999999,82.69933026999999,92.9117162,104.59230506,123.90734950000001,102.80440709999999,127.36868410000001,195.81765155999997,274.82499304,171.92214525,130.81820141999998,21.00929888000001
China,0.00384,0.000813,0.27079000000000003,0.1695,0.273359,0.073964,0.31285,3.5062789999999997,5.473134,5.069530519999999,7.422578339999999,11.46637567,23.447001430000004,20.554439060000004,35.56405212999999,57.543565459999996,129.38110637,130.60238372,208.63595075999996,336.61549715,316.48544167,322.71225061,441.8374492699999,468.24927442000006,479.70502422,463.00302134000003,466.39342046,400.5310105500001,357.04591110999996,654.6656792599999,791.49723521,1170.08495819,1350.22880539,350.33134911
