País,Enero 1992,Febrero 1992,Marzo 1992,Abril 1992,Mayo 1992,Junio 1992,Julio 1992,Agosto 1992,Septiembre 1992,Octubre 1992,Noviembre 1992,Diciembre 1992,Enero 1993,Febrero 1993,Marzo 1993,Abril 1993,Mayo 1993,Junio 1993,Julio 1993,Agosto 1993,Septiembre 1993,Octubre 1993,Noviembre 1993,Diciembre 1993,Enero 1994,Febrero 1994,Marzo 1994,Abril 1994,Mayo 1994,Junio 1994,Julio 1994,Agosto 1994,Septiembre 1994,Octubre 1994,Noviembre 1994,Diciembre 1994,Enero 1995,Febrero 1995,Marzo 1995,Abril 1995,Mayo 1995,Junio 1995,Julio 1995,Agosto 1995,Septiembre 1995,Octubre 1995,Noviembre 1995,Diciembre 1995,Enero 1996,Febrero 1996,Marzo 1996,Abril 1996,Mayo 1996,Junio 1996,Julio 1996,Agosto 1996,Septiembre 1996,Octubre 1996,Noviembre 1996,Diciembre 1996,Enero 1997,Febrero 1997,Marzo 1997,Abril 1997,Mayo 1997,Junio 1997,Julio 1997,Agosto 1997,Septiembre 1997,Octubre 1997,Noviembre 1997,Diciembre 1997,Enero 1998,Febrero 1998,Marzo 1998,Abril 1998,Mayo 1998,Junio 1998,Julio 1998,Agosto 1998,Septiembre 1998,Octubre 1998,Noviembre 1998,Diciembre 1998,Enero 1999,Febrero 1999,Marzo 1999,Abril 1999,Mayo 1999,Junio 1999,Julio 1999,Agosto 1999,Septiembre 1999,Octubre 1999,Noviembre 1999,Diciembre 1999,Enero 2000,Febrero 2000,Marzo 2000,Abril 2000,Mayo 2000,Junio 2000,Julio 2000,Agosto 2000,Septiembre 2000,Octubre 2000,Noviembre 2000,Diciembre 2000,Enero 2001,Febrero 2001,Marzo 2001,Abril 2001,Mayo 2001,Junio 2001,Julio 2001,Agosto 2001,Septiembre 2001,Octubre 2001,Noviembre 2001,Diciembre 2001,Enero 2002,Febrero 2002,Marzo 2002,Abril 2002,Mayo 2002,Junio 2002,Julio 2002,Agosto 2002,Septiembre 2002,Octubre 2002,Noviembre 2002,Diciembre 2002,Enero 2003,Febrero 2003,Marzo 2003,Abril 2003,Mayo 2003,Junio 2003,Julio 2003,Agosto 2003,Septiembre 2003,Octubre 2003,Noviembre 2003,Diciembre 2003,Enero 2004,Febrero 2004,Marzo 2004,Abril 2004,Mayo 2004,Junio 2004,Julio 2004,Agosto 2004,Septiembre 2004,Octubre 2004,Noviembre 2004,Diciembre 2004,Enero 2005,Febrero 2005,Marzo 2005,Abril 2005,Mayo 2005,Junio 2005,Julio 2005,Agosto 2005,Septiembre 2005,Octubre 2005,Noviembre 2005,Diciembre 2005,Enero 2006,Febrero 2006,Marzo 2006,Abril 2006,Mayo 2006,Junio 2006,Julio 2006,Agosto 2006,Septiembre 2006,Octubre 2006,Noviembre 2006,Diciembre 2006,Enero 2007,Febrero 2007,Marzo 2007,Abril 2007,Mayo 2007,Junio 2007,Julio 2007,Agosto 2007,Septiembre 2007,Octubre 2007,Noviembre 2007,Diciembre 2007,Enero 2008,Febrero 2008,Marzo 2008,Abril 2008,Mayo 2008,Junio 2008,Julio 2008,Agosto 2008,Septiembre 2008,Octubre 2008,Noviembre 2008,Diciembre 2008,Enero 2009,Febrero 2009,Marzo 2009,Abril 2009,Mayo 2009,Junio 2009,Julio 2009,Agosto 2009,Septiembre 2009,Octubre 2009,Noviembre 2009,Diciembre 2009,Enero 2010,Febrero 2010,Marzo 2010,Abril 2010,Mayo 2010,Junio 2010,Julio 2010,Agosto 2010,Septiembre 2010,Octubre 2010,Noviembre 2010,Diciembre 2010,Enero 2011,Febrero 2011,Marzo 2011,Abril 2011,Mayo 2011,Junio 2011,Julio 2011,Agosto 2011,Septiembre 2011,Octubre 2011,Noviembre 2011,Diciembre 2011,Enero 2012,Febrero 2012,Marzo 2012,Abril 2012,Mayo 2012,Junio 2012,Julio 2012,Agosto 2012,Septiembre 2012,Octubre 2012,Noviembre 2012,Diciembre 2012,Enero 2013,Febrero 2013,Marzo 2013,Abril 2013,Mayo 2013,Junio 2013,Julio 2013,Agosto 2013,Septiembre 2013,Octubre 2013,Noviembre 2013,Diciembre 2013,Enero 2014,Febrero 2014,Marzo 2014,Abril 2014,Mayo 2014,Junio 2014,Julio 2014,Agosto 2014,Septiembre 2014,Octubre 2014,Noviembre 2014,Diciembre 2014,Enero 2015,Febrero 2015,Marzo 2015,Abril 2015,Mayo 2015,Junio 2015,Julio 2015,Agosto 2015,Septiembre 2015,Octubre 2015,Noviembre 2015,Diciembre 2015,Enero 2016,Febrero 2016,Marzo 2016,Abril 2016,Mayo 2016,Junio 2016,Julio 2016,Agosto 2016,Septiembre 2016,Octubre 2016,Noviembre 2016,Diciembre 2016,Enero 2017,Febrero 2017,Marzo 2017,Abril 2017,Mayo 2017,Junio 2017,Julio 2017,Agosto 2017,Septiembre 2017,Octubre 2017,Noviembre 2017,Diciembre 2017,Enero 2018,Febrero 2018,Marzo 2018,Abril 2018,Mayo 2018,Junio 2018,Julio 2018,Agosto 2018,Septiembre 2018,Octubre 2018,Noviembre 2018,Diciembre 2018,Enero 2019,Febrero 2019,Marzo 2019,Abril 2019,Mayo 2019,Junio 2019,Julio 2019,Agosto 2019,Septiembre 2019,Octubre 2019,Noviembre 2019,Diciembre 2019,Enero 2020,Febrero 2020,Marzo 2020,Abril 2020,Mayo 2020,Junio 2020,Julio 2020,Agosto 2020,Septiembre 2020,Octubre 2020,Noviembre 2020,Diciembre 2020,Enero 2021,Febrero 2021,Marzo 2021,Abril 2021,Mayo 2021,Junio 2021,Julio 2021,Agosto 2021,Septiembre 2021,Octubre 2021,Noviembre 2021,Diciembre 2021,Enero 2022(p),Febrero 2022(p),Marzo 2022(p),Abril 2022(p),Mayo 2022(p),Junio 2022(p),Julio 2022(p),Agosto 2022(p),Septiembre 2022(p),Octubre 2022(p),Noviembre 2022(p),Diciembre 2022(p),Enero 2023(p),Febrero 2023(p),Marzo 2023(p),Abril 2023(p),Mayo 2023(p),Junio 2023(p),Julio 2023(p),Agosto 2023(p),Septiembre 2023(p),Octubre 2023(p),Noviembre 2023(p),Diciembre 2023(p),Enero 2024(p),Febrero 2024(p),Marzo 2024(p),Abril 2024(p),Mayo 2024(p),Junio 2024(p),Julio 2024(p),Agosto 2024(p),Septiembre 2024(p),Octubre 2024(p),Noviembre 2024(p),Diciembre 2024(p),Enero 2025(p),Febrero 2025(p),Marzo 2025(p)
Afganistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.0,,650.0,,399.0,,,,,,,,,322.9,688.7,,,,,,,,84.0,,,602.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032560000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,43.7,10.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemania,1421.419,1918.77,2176.54,1106.651,1324.681,3037.002,961.457,497.308,418.281,599.736,828.592,880.093,666.636,248.935,490.88,215.732,473.165,488.693,201.312,552.943,893.063,573.98,509.049,387.368,173.884,96.151,126.074,144.169,446.465,568.584,1618.78,1394.245,1422.577,442.373,344.924,329.669,222.193,203.344,300.314,283.534,326.859,982.67,824.543,1496.713,1256.532,1183.038,437.655,656.632,416.052,692.224,407.059,494.177,1088.379,1484.08,992.056,1166.824,662.48,1331.144,644.372,805.26,497.327,467.141,366.365,424.253,961.329,1630.252,1145.747,940.87,601.643,375.236,597.561,534.365,515.522,443.653,430.144,728.565,1073.147,1208.961,1097.427,733.551,720.294,737.625,680.152,407.259,452.79,591.715,486.04,432.822,908.971,1148.762,1079.573,967.266,824.743,800.54,630.783,855.107,399.043,327.76,304.751,199.922,927.713,1496.137,994.672,973.462,526.855,621.7,416.531,365.722,360.111,406.421,696.006,390.033,446.889,709.0463000000001,1118.53382,655.0880999999999,612.35243,262.6036,333.74017,163.70534,140.55279000000002,113.48637,96.94810000000001,140.99664,135.644,142.6097,279.6928,334.17179999999996,215.05884,190.32069,130.51194999999998,267.89567999999997,175.82875,185.49914,160.279,294.16083000000003,164.51576,203.33970000000002,359.98539,285.70959000000005,288.97596000000004,212.13291,291.7712,213.75531,84.46025999999999,395.41071,126.64353999999999,271.02858000000003,282.98676,320.9256,185.14839999999998,426.33514,476.0322,304.46866,290.86519,408.65061,359.7453,109.00855,504.87397999999996,457.9466,370.88874,300.109,473.28446,340.26513,318.91115,374.61262,409.94056,309.97209999999995,423.00167999999996,270.33549,278.29134999999997,279.49783,501.36551000000003,321.0724,476.04728,523.87264,344.67781,546.9293100000001,458.79209000000003,558.0529399999999,379.28713,296.26684,255.51199,469.34762,402.50655,533.38211,635.89888,464.49638,513.21058,518.57009,532.21687,476.68378,310.18872999999996,204.62505,257.25285,370.61313,385.32340000000005,3245.6022599999997,587.45866,522.47048,427.9217,551.79062,307.60234,316.23564,323.67624,305.1487,337.13415999999995,359.8824,372.91465000000005,498.08701,634.5617900000001,610.43886,658.0044399999999,473.19910999999996,687.1658299999999,584.4554899999999,379.56857,687.16988,774.3308199999999,429.11718,636.80561,607.87695,678.2129399999999,782.9453599999999,627.71403,711.8514200000001,847.09561,710.2405799999999,485.34191999999996,479.77137,754.4813399999999,763.33092,1178.89487,941.8552900000001,892.23182,1271.13621,918.1101600000001,900.72078,1027.5884,985.43065,755.93312,578.0691400000001,675.26622,646.1750999999999,865.38504,789.05374,1011.44505,1009.39765,902.193,854.65971,628.24823,975.23852,736.31146,778.53199,796.2596500000001,865.48308,754.6955,987.58552,990.34844,1084.51358,981.60971,800.3417900000001,804.45714,813.8326500000001,806.2533000000001,734.75757,680.0948000000001,988.25072,990.8274,884.6429,1230.93691,1098.5122,959.4277099999999,1028.1778199999999,837.0372,865.4848199999999,409.32163,547.1974399999999,643.79738,637.6418000000001,1085.2018999999998,755.59709,1134.14995,1022.93988,688.24431,1147.16115,1134.5665,1080.33029,741.80061,638.22515,718.1841800000001,925.5271,1288.46897,802.50702,1142.7421000000002,1061.60155,922.2355,795.16327,991.78896,968.82426,592.47401,496.66669,919.8075600000001,3911.0845299999996,706.6428199999999,915.1461999999999,942.98076,783.4448100000001,685.809,847.3506,547.8835,513.90797,440.17521999999997,436.5247,1055.416,552.4169,656.9982,449.74326,720.67832,723.5656,661.8791,1037.01755,1002.28887,907.3275,694.35929,827.7020699999999,941.9093,806.7723199999999,750.12324,697.24436,931.0259,880.0990300000001,871.72814,977.49842,702.3077,1110.6018700000002,344.60482,881.97786,851.88072,267.90015999999997,887.6025999999999,916.73616,1023.6784200000001,1035.92772,1402.0208799999998,1398.43522,1050.62789,1011.59816,693.6015500000001,1174.96614,1055.12,629.2524000000001,885.6149300000001,876.489,906.17098,757.8225,735.0372,1023.73952,543.06052,713.27653,458.80146,381.65944,779.54437,1121.3082,972.2259,782.68133,874.11347,674.47276,664.88113,985.9368000000001,999.80852,950.71374,1038.50882,556.75662,829.8800200000001,584.8733000000001,582.83067,814.86015,799.54571,603.3163900000001,1067.0001399999999,894.716,655.7685,818.25619,592.54395,456.03118,906.52896,926.33497,994.449,780.196,913.78924,1050.4617,936.57486,703.8995600000001,433.91722999999996,895.42411,472.10155000000003,834.2856400000001,417.108
Aruba,,,,,,,,,,,,,,,,,,17.28,,,17.28,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,,,,0.167,,,,,,,,,,,,0.329,,,,,,,,,0.169,,,,0.154,,,,,,,,,,,0.183,,,,,,,,,,,,,0.31035,10.150799999999998,,,,,10.150799999999998,,,,4.356,,,,,,,,,,,,,,,,,,,0.16581,,,,35459.249,,,,,,,,,,,,,,,,0.24303,,,,,,0.231,,,,,,,,,,,,,,,,,,,,,,,,0.28436,,,,,,0.041,,,,,,,,,,,,,,,,,,,,0.18881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.088,,,,,,25.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia  Y  Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.825,23.8,23.8,42.14,67.51,68.889,90.599,141.615,127.06,144.944,120.454,87.45,61.7,145.821,25.0,39.98,100.0,21.285,68.585,39.113,,,,,,20.799,107.535,65.751,22.657,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,22.0,,,,,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,71.41461,,116.74485,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,0.476,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62,,,,,,,,43.097,45.858,26.316,,,,,,16.2384,,,,,,34.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.32579,,,,,46.203379999999996,23.10418,48.00338,,46.20404,,,,23.50319,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59056,,,0.8292999999999999,,,,,,,,,13.6375,,,382.5995,,,,,,,38.5975,16.1139,,,331.56809999999996,2525.32,192.42,1606.66,651.1964,,565.0,,13.96,200.0,2223.06,1412.0,1328.0,592.08623,694.11073,,17.303900000000002,,,105.08787,,,,,,,,,,,,,58.671,,,164.5,23.5,23.64,,,,3938.565,11367.79,13704.6597,18610.0,11803.37,8417.13,6220.0,10649.796,2641.73,0.3,260.0,1017.5
Anguilla,,,,,,,,,,,,,,,,,,,,,,,17.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.549,,,,,8.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua Y Barbuda,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antillas Holandesas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,,0.224,,,31.6,,7.825,,,48.0,,,,,16.0,,,,,,95.6,35.456,,15.6,,,,,,,,,,,,0.012,0.019,,,0.024,,,0.03,,,,0.018,0.291,,,,,,,,,,,,,,,,,,,,18.34,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35623.996,,67234.994,31304.195,,0.176,,,,,,,,,,,,,,,,,0.1785,0.0365,,,,,,,,,,0.0885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.68,,,,,,,,22.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
