País,Enero 1992,Febrero 1992,Marzo 1992,Abril 1992,Mayo 1992,Junio 1992,Julio 1992,Agosto 1992,Septiembre 1992,Octubre 1992,Noviembre 1992,Diciembre 1992,Enero 1993,Febrero 1993,Marzo 1993,Abril 1993,Mayo 1993,Junio 1993,Julio 1993,Agosto 1993,Septiembre 1993,Octubre 1993,Noviembre 1993,Diciembre 1993,Enero 1994,Febrero 1994,Marzo 1994,Abril 1994,Mayo 1994,Junio 1994,Julio 1994,Agosto 1994,Septiembre 1994,Octubre 1994,Noviembre 1994,Diciembre 1994,Enero 1995,Febrero 1995,Marzo 1995,Abril 1995,Mayo 1995,Junio 1995,Julio 1995,Agosto 1995,Septiembre 1995,Octubre 1995,Noviembre 1995,Diciembre 1995,Enero 1996,Febrero 1996,Marzo 1996,Abril 1996,Mayo 1996,Junio 1996,Julio 1996,Agosto 1996,Septiembre 1996,Octubre 1996,Noviembre 1996,Diciembre 1996,Enero 1997,Febrero 1997,Marzo 1997,Abril 1997,Mayo 1997,Junio 1997,Julio 1997,Agosto 1997,Septiembre 1997,Octubre 1997,Noviembre 1997,Diciembre 1997,Enero 1998,Febrero 1998,Marzo 1998,Abril 1998,Mayo 1998,Junio 1998,Julio 1998,Agosto 1998,Septiembre 1998,Octubre 1998,Noviembre 1998,Diciembre 1998,Enero 1999,Febrero 1999,Marzo 1999,Abril 1999,Mayo 1999,Junio 1999,Julio 1999,Agosto 1999,Septiembre 1999,Octubre 1999,Noviembre 1999,Diciembre 1999,Enero 2000,Febrero 2000,Marzo 2000,Abril 2000,Mayo 2000,Junio 2000,Julio 2000,Agosto 2000,Septiembre 2000,Octubre 2000,Noviembre 2000,Diciembre 2000,Enero 2001,Febrero 2001,Marzo 2001,Abril 2001,Mayo 2001,Junio 2001,Julio 2001,Agosto 2001,Septiembre 2001,Octubre 2001,Noviembre 2001,Diciembre 2001,Enero 2002,Febrero 2002,Marzo 2002,Abril 2002,Mayo 2002,Junio 2002,Julio 2002,Agosto 2002,Septiembre 2002,Octubre 2002,Noviembre 2002,Diciembre 2002,Enero 2003,Febrero 2003,Marzo 2003,Abril 2003,Mayo 2003,Junio 2003,Julio 2003,Agosto 2003,Septiembre 2003,Octubre 2003,Noviembre 2003,Diciembre 2003,Enero 2004,Febrero 2004,Marzo 2004,Abril 2004,Mayo 2004,Junio 2004,Julio 2004,Agosto 2004,Septiembre 2004,Octubre 2004,Noviembre 2004,Diciembre 2004,Enero 2005,Febrero 2005,Marzo 2005,Abril 2005,Mayo 2005,Junio 2005,Julio 2005,Agosto 2005,Septiembre 2005,Octubre 2005,Noviembre 2005,Diciembre 2005,Enero 2006,Febrero 2006,Marzo 2006,Abril 2006,Mayo 2006,Junio 2006,Julio 2006,Agosto 2006,Septiembre 2006,Octubre 2006,Noviembre 2006,Diciembre 2006,Enero 2007,Febrero 2007,Marzo 2007,Abril 2007,Mayo 2007,Junio 2007,Julio 2007,Agosto 2007,Septiembre 2007,Octubre 2007,Noviembre 2007,Diciembre 2007,Enero 2008,Febrero 2008,Marzo 2008,Abril 2008,Mayo 2008,Junio 2008,Julio 2008,Agosto 2008,Septiembre 2008,Octubre 2008,Noviembre 2008,Diciembre 2008,Enero 2009,Febrero 2009,Marzo 2009,Abril 2009,Mayo 2009,Junio 2009,Julio 2009,Agosto 2009,Septiembre 2009,Octubre 2009,Noviembre 2009,Diciembre 2009,Enero 2010,Febrero 2010,Marzo 2010,Abril 2010,Mayo 2010,Junio 2010,Julio 2010,Agosto 2010,Septiembre 2010,Octubre 2010,Noviembre 2010,Diciembre 2010,Enero 2011,Febrero 2011,Marzo 2011,Abril 2011,Mayo 2011,Junio 2011,Julio 2011,Agosto 2011,Septiembre 2011,Octubre 2011,Noviembre 2011,Diciembre 2011,Enero 2012,Febrero 2012,Marzo 2012,Abril 2012,Mayo 2012,Junio 2012,Julio 2012,Agosto 2012,Septiembre 2012,Octubre 2012,Noviembre 2012,Diciembre 2012,Enero 2013,Febrero 2013,Marzo 2013,Abril 2013,Mayo 2013,Junio 2013,Julio 2013,Agosto 2013,Septiembre 2013,Octubre 2013,Noviembre 2013,Diciembre 2013,Enero 2014,Febrero 2014,Marzo 2014,Abril 2014,Mayo 2014,Junio 2014,Julio 2014,Agosto 2014,Septiembre 2014,Octubre 2014,Noviembre 2014,Diciembre 2014,Enero 2015,Febrero 2015,Marzo 2015,Abril 2015,Mayo 2015,Junio 2015,Julio 2015,Agosto 2015,Septiembre 2015,Octubre 2015,Noviembre 2015,Diciembre 2015,Enero 2016,Febrero 2016,Marzo 2016,Abril 2016,Mayo 2016,Junio 2016,Julio 2016,Agosto 2016,Septiembre 2016,Octubre 2016,Noviembre 2016,Diciembre 2016,Enero 2017,Febrero 2017,Marzo 2017,Abril 2017,Mayo 2017,Junio 2017,Julio 2017,Agosto 2017,Septiembre 2017,Octubre 2017,Noviembre 2017,Diciembre 2017,Enero 2018,Febrero 2018,Marzo 2018,Abril 2018,Mayo 2018,Junio 2018,Julio 2018,Agosto 2018,Septiembre 2018,Octubre 2018,Noviembre 2018,Diciembre 2018,Enero 2019,Febrero 2019,Marzo 2019,Abril 2019,Mayo 2019,Junio 2019,Julio 2019,Agosto 2019,Septiembre 2019,Octubre 2019,Noviembre 2019,Diciembre 2019,Enero 2020,Febrero 2020,Marzo 2020,Abril 2020,Mayo 2020,Junio 2020,Julio 2020,Agosto 2020,Septiembre 2020,Octubre 2020,Noviembre 2020,Diciembre 2020,Enero 2021,Febrero 2021,Marzo 2021,Abril 2021,Mayo 2021,Junio 2021,Julio 2021,Agosto 2021,Septiembre 2021,Octubre 2021,Noviembre 2021,Diciembre 2021,Enero 2022(p),Febrero 2022(p),Marzo 2022(p),Abril 2022(p),Mayo 2022(p),Junio 2022(p),Julio 2022(p),Agosto 2022(p),Septiembre 2022(p),Octubre 2022(p),Noviembre 2022(p),Diciembre 2022(p),Enero 2023(p),Febrero 2023(p),Marzo 2023(p),Abril 2023(p),Mayo 2023(p),Junio 2023(p),Julio 2023(p),Agosto 2023(p),Septiembre 2023(p),Octubre 2023(p),Noviembre 2023(p),Diciembre 2023(p),Enero 2024(p),Febrero 2024(p),Marzo 2024(p),Abril 2024(p),Mayo 2024(p),Junio 2024(p),Julio 2024(p),Agosto 2024(p),Septiembre 2024(p),Octubre 2024(p),Noviembre 2024(p),Diciembre 2024(p),Enero 2025(p),Febrero 2025(p),Marzo 2025(p)
Afganistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137105,,0.182,,0.11172,,,,,,,,,0.1139837,0.2158257,,,,,,,,0.021252,,,0.14650470000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0669755,0.15755433,0.02936875,,,,,,,,,,,0.0033,,,,,,,,,,,,,,,,0.06984923,,,,,,,,,,,,,,,,,,,,,,,,,,0.05729204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemania,3.276109,3.511705,3.56659,2.220595,2.427153,4.006526,2.327167,2.464441,1.594854,1.719304,2.040442,2.449375,1.409305,0.820127,0.799809,2.638038,5.194087,2.51977,2.001478,2.625762,2.975077,4.566745,2.839694,2.875274,2.325405,3.041956,2.766024,3.538296,3.246558,3.777422,4.536422,7.360292,5.263134,6.679179,4.431442,6.675066,2.927862,3.723377,5.113099,4.106311,5.805251,5.512219,5.633359,6.081152,5.183385,5.172532,3.279396,4.219302,3.536067,6.562302,3.8418,6.119391,3.89329,6.78478,4.986628,5.308319,3.95101,6.453023,4.294272,2.959563,3.148387,2.415309,2.558998,3.766661,5.825381,8.514789,9.269987,5.338577,4.063603,5.715164,2.859026,3.140696,4.695427,0.660716,0.908088,1.658768,2.186166,2.504358,2.419557,1.534431,1.465085,1.264238,1.029682,0.67773,0.736654,0.65033,0.446,0.438674,1.356796,2.123748,1.645109,1.610217,1.569847,1.634533,1.01363,1.537145,0.862402,0.518876,0.762096,0.40649,1.584968,2.466658,1.523645,1.626609,0.905199,1.067581,0.730845,0.599813,0.38851496999999996,0.40947918,1.03223748,0.48584266,0.5960753599999999,0.85030106,0.86867495,0.7266481300000001,1.02569183,0.6171440600000001,0.59529125,0.27299559999999995,0.43998625,0.22370118,0.6024774300000001,0.7217631,0.30186844,0.888802,0.49723671,0.67296616,0.5455304799999999,0.593228,0.36374514,0.52597263,0.33377202,0.26812990000000003,0.4711067,0.5065071,0.30487326000000003,0.46879144,0.79687734,0.8174362,0.69233587,0.62004917,0.81274473,0.47420733000000004,0.19735401,0.92040811,0.31536275,0.6747603000000001,0.8278385899999999,0.67895427,0.59836687,1.09270562,1.30465797,1.16111524,1.0848658500000001,1.02391907,0.70123675,0.37949471,1.42875541,1.51285779,1.21755791,0.87455113,1.82906117,1.5760808,1.35226194,1.52831575,1.37005467,1.0834826599999998,1.33211776,0.8859199799999999,0.69738604,0.67849695,1.5117969,1.1361122,1.39759573,1.61539229,1.3901116,1.69040999,1.6959893799999999,1.3073363999999998,0.9421154899999999,0.88315194,0.4779449,1.1440998500000001,0.9329908100000001,1.15049976,2.01887429,1.25532883,1.70460486,1.43074753,2.08731945,1.4284597700000001,0.9118252,0.47198629999999997,0.81392624,1.46179503,1.77958783,6.74125546,1.8801389499999999,2.30668492,1.92900601,2.39089549,1.18185454,1.2468559399999999,1.0559697,0.93782546,0.95121972,1.20269449,1.19555241,1.64253571,2.03733168,2.1366296,2.44982577,1.84494255,2.5331831499999997,1.62294402,1.46916472,1.80714857,2.3937659300000003,1.3051665700000001,2.14156086,2.5186573500000002,2.7281875899999997,3.24134394,3.0729551600000002,2.69683028,3.25702908,3.38173315,2.19385159,1.79326492,2.8097701699999997,3.4455680699999998,5.6289804100000005,4.89138822,4.73134739,5.53537871,5.11198598,5.86306735,4.69093825,3.70101794,2.54835954,2.58712891,3.69780687,3.5085900299999997,4.348702940000001,4.65153138,5.649104940000001,4.82005122,5.0305462599999995,4.02582835,2.98604169,4.13295719,3.01878661,3.23105996,3.75582823,3.61236838,2.83551627,5.35291462,5.49205815,5.716459179999999,6.12175007,5.17569037,5.041309849999999,5.723499980000001,4.33474808,4.35743887,3.40685737,6.89562673,6.21512459,4.8792206600000005,7.76595399,6.85038741,5.7774389500000005,6.759267230000001,5.357652150000001,5.44232663,1.87194956,2.6777015299999998,2.91668586,3.78015289,6.669473610000001,4.5732583,6.56531472,5.9959086600000004,5.3921247999999995,7.21085456,6.4229243,4.5011751900000005,3.8918054100000004,2.95178544,4.42738454,5.672796730000001,9.574344,4.937398480000001,6.47542048,5.329585440000001,4.39390562,4.87594513,6.18295747,4.16761201,2.64724795,3.46472488,5.320671030000001,21.625908969999998,5.55048075,8.831333800000001,7.049321,3.7380031600000003,4.16684075,2.6618851400000003,1.5662602700000001,1.8031241299999998,2.37695373,2.0859063,7.08244296,3.75325206,3.7886901600000003,2.56637235,4.23125796,4.0013315,2.40379167,4.77227024,3.65821957,4.27930559,2.95389362,2.81531617,4.00017036,3.69485571,3.5210583300000002,3.21720061,3.3550419,3.46565925,3.56059963,3.83264138,2.59585396,4.78630898,1.37808446,2.88205116,2.8224880800000003,1.1147853,3.37420469,3.52873891,3.62078103,3.67321081,5.249814639999999,6.69779122,4.45649172,2.74269554,1.9210623500000001,3.80543438,3.20950548,2.2532461400000003,3.5180637000000003,4.0405695,3.53447011,3.6798613199999997,3.03890027,4.12124204,1.5296009499999998,2.4971159199999997,1.59035372,1.4286183300000002,3.4913229300000004,4.02842574,5.063590759999999,3.27021046,3.1006278,2.85585326,2.56696401,4.40284172,3.66370837,3.61697961,1.84154925,1.76369584,2.75655545,2.05440474,2.10099472,2.24274779,2.1731972,2.2655825800000002,3.35287625,2.5953659300000003,2.38138897,2.9031074500000003,1.9877998000000001,1.6609155800000002,3.59850964,3.57876686,3.90257321,2.75271268,3.89263743,4.665591190000001,4.01779613,3.81939712,1.56344764,3.75003023,1.6515665100000003,3.1134103800000004,2.25453386
Aruba,,,,,,,,,,,,,,,,,,0.064032,,,0.06432,0.06432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001032,,,,0.000816,,,,,,,,,,,,0.002902,,,,,,,,,0.000668,,,,0.00044,,,,,,,,,,,0.000807,,,,,,,,,,,,,0.0010076,0.02473412,,,,,0.02489746,,,,0.01066264,,,,,,,,,,,,,,,,,,,0.00068471,,,,15.2150131,,,,,,,,,,,,,,,,0.00129974,,,,,,0.00097838,,,,,,,,,,,,,,,,,,,,,,,,0.0012963900000000001,,,,,,0.00196,,,,,,,,,,,,,,,,,,,,0.00095411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012451450000000001,,,,,,0.0360167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia  Y  Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03025,0.010054200000000001,0.011304,0.06147,0.07534306,0.07726946000000001,0.12303947,0.19848464000000002,0.15475981,0.17368983,0.18568378,0.11988478999999999,0.0736125,0.21748071,0.03460924,0.05806,0.13902446,0.02735,0.1077965,0.04418748,,,,,,0.0225536,0.13360088,0.09529839999999999,0.0285,,,,,,,,,,,,,,,,,,,,,,,0.023006,0.024271,0.021235,,,,,0.026503099999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001781,0.00042,,,,,,,,,,,,,,,,,,,,,,,,,,0.07438217,,0.13123179000000001,,,,,,,,,,,,,,,,,,,,,,0.000984,,,,,,,,,,,,,0.001156,,,,,,,,,,,,,,0.0009989,,,,,,,,,,,,,,,,,,,,,,,,,0.0138765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06089,,,,,,,,0.01573168,0.030073,0.0204,,,,,,0.029157119999999998,,,,,,0.049764,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11098411,,,,,0.15494170999999998,0.09105585000000001,0.17413523,,0.15356981,,,,0.11222773,,0.03497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07208696,,,0.01766816,,,,,,,,,0.06218324,,,0.16274627,,,,,,,0.14717312,0.07358727000000001,,,0.16502726999999998,0.97401012,0.07523622,0.6304023000000001,0.31880327,,0.228825,,0.06812727,0.076,0.9218922700000001,0.48913,0.50122,0.35883314,0.29550487,,0.0524209,,,0.54613818,,,,,,,,,,,,,0.26542727,,,0.092024,0.012695,0.08452727,,,,1.35000133,3.55319922,4.565685,6.10288,3.97777802,2.74687212,2.022573,3.14476303,1.2693537099999999,0.00015,0.0845,0.24699999999999997
Anguilla,,,,,,,,,,,,,,,,,,,,,,,0.025918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040744,,,,,0.01793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua Y Barbuda,,,,,,,,,,,0.003702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antillas Holandesas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7e-05,,0.00073,,,0.103594,,0.036392,,,0.149424,,,,,0.048224,,,,,,0.295891,0.125248,,0.05148,,,,,,,,,,,,0.000805,0.001235,,,0.001959,,,0.002336,,,,0.001372,0.00674812,,,,,,,,,,,,,,,,,,,,0.0035008,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.305469329999998,,28.91295196,9.75854939,,0.0031,,,,,,,,,,,,,,,,,0.0026,0.00137,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00851,,,,,,,,0.00825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
